id,item_id,dept_id,cat_id,store_id,state_id,date,sales,weekday,wm_yr_wk,event_type_1,event_type_2,sell_price,event_sporting,event_cultural,event_national,event_religious,y_pred
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-09,1,Monday,11615,,,3.54,0,0,0,0,2.4311924
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-10,3,Tuesday,11615,,,3.54,0,0,0,0,2.4491649
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-11,2,Wednesday,11615,,,3.54,0,0,0,0,2.4167502
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-12,1,Thursday,11615,,,3.54,0,0,0,0,2.4221337
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-13,1,Friday,11615,,,3.54,0,0,0,0,2.5694513
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-14,2,Saturday,11616,,,3.54,0,0,0,0,2.89221
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-15,1,Sunday,11616,,,3.54,0,0,0,0,2.8015726
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-16,3,Monday,11616,,,3.54,0,0,0,0,2.3982882
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-17,2,Tuesday,11616,,,3.54,0,0,0,0,2.3472092
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-18,2,Wednesday,11616,,,3.54,0,0,0,0,2.3020968
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-19,3,Thursday,11616,,,3.54,0,0,0,0,2.2615833
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-20,2,Friday,11616,,,3.54,0,0,0,0,2.4201653
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-21,0,Saturday,11617,,,3.54,0,0,0,0,2.7590947
FOODS_1_005_WI_1_evaluation,FOODS_1_005,FOODS_1,FOODS,WI_1,WI,2016-05-22,2,Sunday,11617,,,3.54,0,0,0,0,2.6939015
